ModelComparison,DeltaAUC,DeLongZ,DeLongP,AccuracyDifference,McNemarP,Significance
LogReg vs RF,-0.0032,0.3699,0.7114,0.0026,0.9161,Not significant
LogReg vs FFNN,-0.0178,1.8004,0.0718,-0.0195,0.1594,Not significant
LogReg vs BPNN,-0.0316,2.6829,0.0073,-0.0195,0.1636,LogReg significantly better
LogReg vs GRNN,-0.0011,0.1466,0.8834,0.0052,0.6885,Not significant
LogReg vs ABC-FFNN,-0.0669,4.5715,0,-0.0495,0.0031,LogReg significantly better
RF vs FFNN,-0.0145,1.3926,0.1637,-0.0221,0.1425,Not significant
RF vs BPNN,-0.0284,2.6149,0.0089,-0.0221,0.1149,RF significantly better
RF vs GRNN,0.0021,0.2707,0.7866,0.0026,0.9211,Not significant
RF vs ABC-FFNN,-0.0637,4.899,0,-0.0521,0.0009,RF significantly better
FFNN vs BPNN,-0.0138,1.2092,0.2266,0,0.9211,Not significant
FFNN vs GRNN,0.0167,1.6797,0.093,0.0247,0.079,Not significant
FFNN vs ABC-FFNN,-0.0492,3.4157,0.0006,-0.0299,0.0639,FFNN significantly better
BPNN vs GRNN,0.0305,2.8205,0.0048,0.0247,0.0875,GRNN significantly better
BPNN vs ABC-FFNN,-0.0354,3.0932,0.002,-0.0299,0.0473,BPNN significantly better
GRNN vs ABC-FFNN,-0.0659,4.9111,0,-0.0547,0.0008,GRNN significantly better
